period,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29
 after 2010s,0.051163577259659344,0.014277252837547397,0.06138590434822109,0.03248839563797466,0.02976588460320786,0.017452981397428038,0.025573113388053334,0.09077174162080662,0.03337290934824237,0.018468670075706316,0.04708786351761392,0.028233936567915553,0.04568457156214015,0.01978351729663172,0.027691338968421214,0.03342677393342297,0.014386484926414441,0.03402955927392971,0.04642848184374262,0.024605410626442243,0.06261750597129218,0.01617484712942239,0.04680420013245824,0.018650695589829347,0.023100352909437082,0.05199835357718671,0.018816519375120903,0.021996923959230894,0.02774627598032567,0.016015956342175036
2000-2005,0.06612646435322692,0.013170444422025177,0.06336969439914493,0.030237971082129077,0.02468985239387534,0.015440007990207203,0.020208454924152762,0.08052954849174498,0.03148704799565224,0.020131974102790218,0.05967028344530792,0.034276605407948656,0.04071539139048584,0.01633334475080739,0.031930243960760295,0.03477660211460776,0.014612527754661988,0.02883299532211647,0.049211257478996684,0.027004162404768866,0.07051300125810081,0.013771351587133066,0.044336276915774096,0.020512259625944433,0.018710983915818758,0.04351564806211789,0.014376842287998645,0.024165945197450467,0.03288343447497872,0.014459382489272378
2005-2010,0.07240810292055569,0.014184072695828163,0.058479471835961756,0.027489768949001406,0.030064323234429105,0.01549719151456103,0.022471396884419924,0.08509301339241998,0.03563211826857003,0.019019206305486064,0.05467736602370246,0.03333423510682666,0.03755121632614288,0.0162208199337149,0.03055871755989879,0.03656682602674721,0.014665718042561494,0.028022514657164824,0.04633343106963106,0.02488743960212179,0.06456307183979823,0.013814069591207347,0.045414890323438754,0.01963007030516703,0.01853846249762832,0.04726448086653661,0.013548054128521213,0.025472832144331357,0.0327276850902722,0.015869432863353683
50s,0.04847528637122054,0.017879594483306414,0.05731732515628027,0.04040991349917504,0.02370917841216878,0.013918416761509893,0.02381404022760853,0.05943141235837919,0.02327593726839648,0.02677111858809067,0.05816892482594023,0.03055630984214996,0.05429966741468534,0.03177866056405509,0.056174727423866415,0.03415162695017191,0.014724425744245144,0.01912704917392876,0.0530981672944018,0.030478567735075474,0.07239933208431308,0.013554112855605238,0.038026576612015014,0.031324810416091975,0.01699175050774526,0.018983761704734734,0.016261141547428883,0.025528739509259515,0.03107831866603383,0.01829110600211654
60s,0.05473542241304712,0.02161230343710021,0.05031100538661636,0.029847975846881855,0.025415513266231964,0.01786102326276379,0.023893082612448564,0.05682899396078493,0.03164343360136202,0.025482319180360487,0.04772531679545317,0.037060598400794814,0.048984426320333,0.028682097653635805,0.05079119501535343,0.04007710211921821,0.01461468182263568,0.024383192108041834,0.05159595002228722,0.039270746503841894,0.06913321384328769,0.016075357503458194,0.041586149337613176,0.02770103487604071,0.018361864274175254,0.022720144763300386,0.02040803095982402,0.021864694332504625,0.024001941075025058,0.01733118930557853
70s,0.0761957454567034,0.018379624670633202,0.05448018534300556,0.032073588788328125,0.028861902339773683,0.014852791785195234,0.027604164253008483,0.057099910497998604,0.032638013558823925,0.02197445029716514,0.04536234302558982,0.03437779143580008,0.03671092804536191,0.024182870393479623,0.039470069007096535,0.04225873799844643,0.013969070556121921,0.02463625512463551,0.04886875323618335,0.026001578124825436,0.07113712174561904,0.015163656442512904,0.04236614232431017,0.02698806261350829,0.017884856606745318,0.03039298300090845,0.017167071581309135,0.024052495515959053,0.03406158396424683,0.020787252266704827
80s,0.07260069307428758,0.014008448420117076,0.059714148224941366,0.0298275052085062,0.02805378377116193,0.019978849198997898,0.023370057575088296,0.05768829012631647,0.02997014957504518,0.024535327470583276,0.05320032136871198,0.032170596556767815,0.037531642306232106,0.02115537402960153,0.03140310972341777,0.039813109506877664,0.013804994980558349,0.030273339746629966,0.050282143669609966,0.03237416015101489,0.06969877183209786,0.015390397610990095,0.038465739648050785,0.026876689267401086,0.018094718721048085,0.040386344435902805,0.016403511033088573,0.023651734111958544,0.03168973207284044,0.017586316582154413
90s,0.05813443580380249,0.012715005328366816,0.06290132798626412,0.034134564792425555,0.027961044859899496,0.017442022566946602,0.020224383969531985,0.0859573169076071,0.028257353024064635,0.02414402410429497,0.06016270127988133,0.03114079249582637,0.04162262544864098,0.019353153601314687,0.026696075618476842,0.03541040877154237,0.012566336042374877,0.0286823797526767,0.05199442361350097,0.0304900912900974,0.0717988193337012,0.012899242368575554,0.0383472563711651,0.020385884290871473,0.017040133681871093,0.04099853498067585,0.01532099730362136,0.0231653360683248,0.03480140738508864,0.015251920958568605
before 1950,0.04920460757768033,0.01859347509511158,0.052248042742189,0.04334014474179311,0.026648842475554983,0.01598556619127003,0.020678309061580382,0.0802133531482975,0.029848264762776827,0.03973233057824819,0.06079424848813101,0.03129975493171797,0.09007182957022972,0.011723472582762556,0.040812567789614354,0.04575996511545009,0.014721992824176576,0.017793572809035523,0.05567013248846206,0.03135562921343291,0.02692404631961928,0.013551521693572271,0.029457478308555867,0.022888140207450787,0.01840195168403497,0.02131976754387227,0.0171489483410464,0.025208035814053367,0.030788189101063002,0.017815818799217075
